DATE,USREC,TB3MS,sp500,RiskFree
01/12/1933,0,100,9.97,0.65
01/01/1934,0,100.0598029,10.54,0.72
01/02/1934,0,100.1113541,11.32,0.62
01/03/1934,0,100.1313544,10.74,0.24
01/04/1934,0,100.1438622,10.92,0.15
01/05/1934,0,100.157205,9.81,0.16
01/06/1934,0,100.169716,9.94,0.15
01/07/1934,0,100.1822286,9.47,0.15
01/08/1934,0,100.198077,9.1,0.19
01/09/1934,0,100.2155948,8.88,0.21
01/10/1934,0,100.2381155,8.95,0.27
01/11/1934,0,100.2589745,9.2,0.25
01/12/1934,0,100.2781706,9.26,0.23
01/01/1935,0,100.2948684,9.26,0.2
01/02/1935,0,100.3107346,8.98,0.19
01/03/1935,0,100.3232648,8.41,0.15
01/04/1935,0,100.3357966,9.04,0.15
01/05/1935,0,100.3483299,9.75,0.15
01/06/1935,0,100.3608649,10.12,0.15
01/07/1935,0,100.3734014,10.65,0.15
01/08/1935,0,100.3867747,11.37,0.16
01/09/1935,0,100.4034905,11.61,0.2
01/10/1935,0,100.4202091,11.92,0.2
01/11/1935,0,100.4335886,13.04,0.16
01/12/1935,0,100.4461342,13.04,0.15
01/01/1936,0,100.4628599,13.76,0.2
01/02/1936,0,100.4795884,14.55,0.2
01/03/1936,0,100.4963197,14.86,0.2
01/04/1936,0,100.5130537,14.88,0.2
01/05/1936,0,100.5297905,14.09,0.2
01/06/1936,0,100.5465302,14.69,0.2
01/07/1936,0,100.5590899,15.56,0.15
01/08/1936,0,100.5758344,15.87,0.2
01/09/1936,0,100.5892346,16.05,0.16
01/10/1936,0,100.6001253,16.89,0.13
01/11/1936,0,100.6093424,17.36,0.11
01/12/1936,0,100.6193978,17.06,0.12
01/01/1937,0,100.6336411,17.59,0.17
01/02/1937,0,100.6462117,18.11,0.15
01/03/1937,0,100.6780276,18.09,0.38
01/04/1937,0,100.7248905,17.01,0.56
01/05/1937,0,100.7592403,16.25,0.41
01/06/1937,1,100.7894183,15.64,0.36
01/07/1937,1,100.8129057,16.57,0.28
01/08/1937,1,100.8372365,16.74,0.29
01/09/1937,1,100.8632492,14.37,0.31
01/10/1937,1,100.8800444,12.28,0.2
01/11/1937,1,100.8876073,11.2,0.09
01/12/1937,1,100.8968506,11.02,0.11
01/01/1938,1,100.9052549,11.31,0.1
01/02/1938,1,100.9119794,11.04,0.08
01/03/1938,1,100.9187044,10.31,0.08
01/04/1938,1,100.9262702,9.89,0.09
01/05/1938,1,100.9304745,9.98,0.05
01/06/1938,1,100.934679,10.21,0.05
01/07/1938,0,100.9405649,12.24,0.07
01/08/1938,0,100.9456106,12.31,0.06
01/09/1938,0,100.9523378,11.75,0.08
01/10/1938,0,100.9565432,13.06,0.05
01/11/1938,0,100.9599078,13.07,0.04
01/12/1938,0,100.9624314,12.69,0.03
01/01/1939,0,100.9649552,12.5,0.03
